Eb/N0	BER_flooding	BER_layered
1.200000	1.331357e-01	1.424775e-01
1.400000	8.987453e-02	6.928622e-02
1.500000	6.790009e-02	3.319010e-02
1.600000	4.456558e-02	1.188565e-02
1.700000	2.933357e-02	1.882102e-03
1.800000	1.424953e-02	3.231534e-04
2.000000	2.850379e-03	6.510417e-05
2.200000	3.196023e-04	2.012311e-05
2.400000	7.457386e-05	3.196023e-05
2.600000	1.893939e-05	1.065341e-05
2.800000	9.469697e-06	9.469697e-06
3.000000	2.367424e-06	1.183712e-06
3.200000	2.367424e-06	2.367424e-06
3.400000	2.367424e-06	2.367424e-06
3.600000	0.000000e+00	0.000000e+00
3.800000	0.000000e+00	0.000000e+00
4.000000	0.000000e+00	0.000000e+00
4.200000	0.000000e+00	0.000000e+00
4.400000	0.000000e+00	0.000000e+00
4.600000	0.000000e+00	0.000000e+00
4.800000	0.000000e+00	0.000000e+00
5.000000	0.000000e+00	0.000000e+00
