Eb/N0	BER_flooding	BER_layered
1.200000	1.407209e-01	1.611352e-01
1.400000	1.113920e-01	1.133321e-01
1.500000	9.912050e-02	9.028291e-02
1.600000	8.273674e-02	6.131747e-02
1.700000	6.950994e-02	3.678859e-02
1.800000	5.834635e-02	2.490767e-02
2.000000	3.518939e-02	6.077178e-03
2.200000	1.825876e-02	7.682292e-04
2.400000	7.806581e-03	1.296165e-04
2.600000	2.737334e-03	2.071496e-05
2.800000	8.688447e-04	1.716383e-05
3.000000	2.509470e-04	5.326705e-06
3.200000	6.510417e-05	5.326705e-06
3.400000	2.189867e-05	4.734848e-06
3.600000	0.000000e+00	0.000000e+00
3.800000	0.000000e+00	0.000000e+00
4.000000	0.000000e+00	0.000000e+00
4.200000	0.000000e+00	0.000000e+00
4.400000	0.000000e+00	0.000000e+00
4.600000	0.000000e+00	0.000000e+00
4.800000	0.000000e+00	0.000000e+00
5.000000	0.000000e+00	0.000000e+00
