Eb/N0	BER_flooding	BER_layered
1.200000	1.129084e-01	1.019283e-01
1.400000	2.589370e-02	1.128078e-02
1.500000	9.112216e-03	9.990530e-04
1.600000	6.261837e-04	1.893939e-04
1.700000	1.775568e-04	1.432292e-04
1.800000	1.420455e-04	1.219223e-04
2.000000	6.865530e-05	6.865530e-05
2.200000	4.142992e-05	4.142992e-05
2.400000	3.136837e-05	3.136837e-05
2.600000	1.538826e-05	1.538826e-05
2.800000	1.124527e-05	1.124527e-05
3.000000	7.694129e-06	7.694129e-06
3.200000	4.142992e-06	4.142992e-06
3.400000	3.551136e-06	3.551136e-06
3.600000	0.000000e+00	0.000000e+00
3.800000	0.000000e+00	0.000000e+00
4.000000	0.000000e+00	0.000000e+00
4.200000	0.000000e+00	0.000000e+00
4.400000	0.000000e+00	0.000000e+00
4.600000	0.000000e+00	0.000000e+00
4.800000	0.000000e+00	0.000000e+00
5.000000	0.000000e+00	0.000000e+00
