Eb/N0	BER_flooding	BER_layered
0.500000	2.263991e-01	2.321887e-01
0.600000	2.194969e-01	2.281238e-01
0.800000	2.005445e-01	2.131262e-01
0.900000	1.886080e-01	2.040211e-01
1.000000	1.719318e-01	1.895076e-01
1.200000	1.354759e-01	1.417105e-01
1.400000	8.594342e-02	6.001657e-02
1.500000	6.874763e-02	3.333097e-02
1.600000	4.532197e-02	8.517992e-03
1.700000	2.597775e-02	1.396780e-03
1.800000	1.507221e-02	2.687027e-04
2.000000	2.381629e-03	7.102273e-05
2.200000	3.468277e-04	4.971591e-05
2.400000	7.398201e-05	2.781723e-05
2.600000	2.722538e-05	1.893939e-05
2.800000	7.102273e-06	6.510417e-06
3.000000	4.142992e-06	4.142992e-06
3.200000	5.918561e-06	5.918561e-06
3.400000	2.130682e-06	2.130682e-06
3.600000	1.775568e-06	1.775568e-06
3.800000	1.065341e-06	1.065341e-06
4.000000	6.510417e-07	6.510417e-07
4.200000	6.313131e-07	6.313131e-07
4.400000	1.183712e-07	1.183712e-07
4.600000	4.734848e-08	4.734848e-08
4.800000	0.000000e+00	0.000000e+00
5.000000	1.183712e-08	1.183712e-08
