Eb/N0	BER_flooding	BER_layered
0.500000	2.139347e-01	2.295159e-01
0.600000	2.061293e-01	2.230256e-01
0.800000	1.885677e-01	2.125367e-01
0.900000	1.774325e-01	2.001563e-01
1.000000	1.684328e-01	1.924325e-01
1.200000	1.412382e-01	1.588778e-01
1.400000	1.126255e-01	1.155658e-01
1.500000	9.718868e-02	8.456321e-02
1.600000	8.456321e-02	6.329782e-02
1.700000	7.088660e-02	3.997277e-02
1.800000	5.751539e-02	2.209517e-02
2.000000	3.612216e-02	5.404830e-03
2.200000	1.970052e-02	9.410511e-04
2.400000	8.539299e-03	1.331676e-04
2.600000	3.116122e-03	3.136837e-05
2.800000	9.238873e-04	2.249053e-05
3.000000	2.361506e-04	8.285985e-06
3.200000	7.031250e-05	4.498106e-06
3.400000	1.396780e-05	2.604167e-06
3.600000	7.102273e-06	1.420455e-06
3.800000	2.012311e-06	1.065341e-06
4.000000	1.183712e-06	6.510417e-07
4.200000	3.156566e-07	2.367424e-07
4.400000	1.183712e-07	1.183712e-07
4.600000	7.102273e-08	4.734848e-08
4.800000	9.469697e-08	9.469697e-08
5.000000	4.734848e-08	4.734848e-08
