Eb/N0	BER_flooding	BER_layered
1.200000	1.366927e-01	1.517353e-01
1.400000	1.059032e-01	1.013920e-01
1.500000	8.897846e-02	7.125947e-02
1.600000	7.150923e-02	4.131629e-02
1.700000	5.743726e-02	2.090436e-02
1.800000	4.060724e-02	7.621922e-03
2.000000	1.982718e-02	7.717803e-04
2.200000	6.942472e-03	1.041667e-04
2.400000	1.835346e-03	3.610322e-05
2.600000	4.137074e-04	1.598011e-05
2.800000	8.877841e-05	1.302083e-05
3.000000	2.189867e-05	5.918561e-06
3.200000	8.285985e-06	3.551136e-06
3.400000	5.326705e-06	3.551136e-06
3.600000	0.000000e+00	0.000000e+00
3.800000	0.000000e+00	0.000000e+00
4.000000	0.000000e+00	0.000000e+00
4.200000	0.000000e+00	0.000000e+00
4.400000	0.000000e+00	0.000000e+00
4.600000	0.000000e+00	0.000000e+00
4.800000	0.000000e+00	0.000000e+00
5.000000	0.000000e+00	0.000000e+00
