Eb/N0	BER_flooding	BER_layered
1.200000	1.304297e-01	1.376811e-01
1.400000	7.291785e-02	4.549006e-02
1.500000	4.167140e-02	9.565578e-03
1.600000	2.051965e-02	1.129261e-03
1.700000	7.062027e-03	1.325758e-04
1.800000	3.147491e-03	1.325758e-04
2.000000	2.154356e-04	8.285985e-05
2.200000	5.918561e-05	4.616477e-05
2.400000	2.840909e-05	2.367424e-05
2.600000	1.775568e-05	1.775568e-05
2.800000	1.065341e-05	1.065341e-05
3.000000	3.551136e-06	3.551136e-06
3.200000	7.102273e-06	7.102273e-06
3.400000	1.183712e-06	1.183712e-06
3.600000	9.469697e-07	9.469697e-07
3.800000	1.420455e-06	1.420455e-06
4.000000	4.734848e-07	4.734848e-07
4.200000	1.775568e-07	1.775568e-07
4.400000	1.775568e-07	1.775568e-07
4.600000	1.893939e-07	1.893939e-07
4.800000	1.420455e-07	1.420455e-07
5.000000	1.183712e-08	1.183712e-08
